品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 Samsung/三星, SM-G9280, 雪晶白 铂光金 钛泽银, Android/安卓,5888.00,536,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 32GB 64GB, 4GB, 5.7英寸, 电容式, 2560×1440像素,（7952人气）,
 Xiaomi/小米, 小米手机4&nbsp;2GB内存版, 雅黑 白色, MIUI,1390.00,3077,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（18874人气）,
 Xiaomi/小米, 小米note, 天然竹 白色, MIUI,1800.00,1225,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 女性手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 3GB, 5.7英寸, 电容式, 1920x1080,（11644人气）,
 Xiaomi/小米, 小米手机4c, 湖蓝色 柠檬黄 金属灰 桃粉色 白色, MIUI,1299.00,1342,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 六核, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（2141人气）,
 Xiaomi/小米, 红米Note2, 灰色 粉色 白色 黄色 蓝色, MIUI,799.00,663423,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（244530人气）,
 Samsung/三星, Galaxy&nbsp;note&nbsp;5&nbsp;SM-N9200, 雪晶白 铂光金, Android/安卓,5388.00,13,, 拍照手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 32GB, 4GB, 5.7, 电容式, 2560×1440像素,（37人气）,
 Letv/乐视, X800, 银白（移动4G/联通4G） 金色 银色, Android/安卓,2505.00,34100,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB 64GB, 4GB, 5.5英寸, 电容式, 2560×1440像素,（36082人气）,
 Sony/索尼, 璨光金 镜像银, Android/安卓, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机 女性手机,5699.10,1061,, 不可拆卸式电池, 八核, 2.0G, 3430mAh, 直板, 虚拟触屏键盘, 9mm以下, 2300万, 双摄像头（前后）, 支持MP4/3GP/AVC/AVI/MPEG-4等格式, 32GB, 3GB, 5.5英寸, 电容式, 3840x2160,（21506人气）,
 Huawei/华为, P8高配版, 栖霞粉 暮光紫 皓月银 苍穹黑 流光金, Android/安卓,3288.00,1286,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核&nbsp;2.2GHz+四核1.5GHz, 2680mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 64GB, 3GB, 5.2英寸, 电容式, 1920x1080,（1439人气）,
 Meizu/魅族, MX5公开版, 金色 灰色 银黑 银白, FLyme,2000.00,267,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 真8核-2.2GHZ, 3150mAh, 直板, 虚拟触屏键盘, 7.6mm, 2070万, 双摄像头（前后）, 1080P(全高清D5), 16GB 32GB, 3GB, 5.5英寸, 电容式, 1920x1080,（508人气）,
 OPPO, R7S, 玫瑰金 金色, Android/安卓,2599.00,10854,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 4GB, 5.5英寸, 电容式, 1920x1080,（45717人气）,
 Huawei/华为, 荣耀4A, 白色 黑色, Android/安卓,699.00,492,, 拍照手机 时尚手机 智能手机 儿童手机 4G手机 女性手机 老人手机, 可拆卸式电池, 4核&nbsp;1.1GHz, 2200mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头(前后), 1080P(全高清D5), 8GB, 2GB, 5.0英寸, 电容式, 1280x720,（656人气）,
 Xiaomi/小米, 红米2A增强版, 灰色 白色, MIUI,569.00,394,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核, 2200mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 4.7英寸, 电容式, 1280x720,（587人气）,
 Xiaomi/小米, 红米note&nbsp;4G标准版, 象牙白, MIUI,699.00,3950,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 8GB, 1GB, 5.5英寸, 电容式, 1280x720,（123263人气）,
 Samsung/三星, GALAXY&nbsp;NOTE&nbsp;3&nbsp;N9006, 粉色 黑色 白色, Android/安卓,1600.00,846,, 拍照手机 智能手机 3G手机, 可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 3GB, 5.7英寸, 电容式, 1920x1080,（3238人气）,
 Sony/索尼, E6533, 皎月白 涧湖绿 黛丽黑 香槟金, Android/安卓,5000.00,171,, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 智能真8核, 2930mAh, 直板, 虚拟触屏键盘, 9mm以下, 2070万, 双摄像头（前后）, 1080P(全高清D5), 32GB, 3GB, 5.2英寸, 电容式, 1920x1080,（22574人气）,
 Motorola/摩托罗拉, XT1085, 天然竹 本色皮 黑檀木 蔓越粉 妩媚红 雅典黑 绿松蓝, Android/安卓,1999.00,2658,, 拍照手机 智能手机 4G手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB 32GB, 2GB, 5.2英寸, 电容式, 1080x1920,（14574人气）,
 Samsung/三星, Galaxy&nbsp;S6&nbsp;SM-G9200, 雪晶白 星钻黑 冰玉蓝 铂光金, Android/安卓,4488.00,99,, 4G手机, 不可拆卸式电池, 真八核, 2550mAh, 直板, 虚拟触屏键盘, 9mm以下, 1600万, 双摄像头（前后）, 4k, 32GB, 3GB, 5.1英寸, 电容式, 2560×1440像素,（3518人气）,
 Samsung/三星, GALAXY&nbsp;S6&nbsp;SM-G9209, 雪晶白 星钻黑 铂光金, Android/安卓,5128.00,367,, 智能手机 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 32GB, 3GB, 5.1英寸, 电容式, 2560×1440像素,（2452人气）,
 OPPO, r7&nbsp;plus, 金色, Android/安卓,2999.00,2453,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 3GB, 6.0英寸, 电容式, 1920x1080,（98077人气）,
 Huawei/华为, P8标准版, 烟云灰 皓月银, Android/安卓,2988.00,83,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 四核2.0GHz+四核1.5GHz, 2680mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 3GB, 5.2英寸, 电容式, 1920x1080,（571人气）,
 Samsung/三星, GALAXY&nbsp;Note&nbsp;3&nbsp;SM-N9008, 简约白 炫酷黑, Android/安卓,2230.00,738,, 拍照手机 智能手机 3G手机, 可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 3GB, 5.7英寸, 电容式, 1920x1080,（2022人气）,
 Huawei/华为, 香槟银, Android/安卓, 拍照手机 时尚手机 智能手机 4G手机 商务手机,2099.00,338,, 不可拆卸式电池, 4*1.5GHz&nbsp;+&nbsp;4*1.2GHz, 3000mAh,, 虚拟触屏键盘, 7.5mm,, 双摄像头（前后）, 1080P(全高清D5),, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（10991人气）,
 Samsung/三星, GT-B9120, 钛灰, Android/安卓,2000.00,535,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 可拆卸式电池, 双核心, 1.2GHz, 翻盖, 12键标准键盘, 1CM以上, 500万, 单摄像头, 720P(逐行高清D4), 16GB, 1GB, 3.3英寸, 电容式, 800x480,（2813人气）,
 OPPO, R7T, 金色 银色, Android/安卓,2599.00,2456,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 3GB, 5.0英寸, 电容式, 1920x1080,（36564人气）,
 Meizu/魅族, MX4&nbsp;Pro, 灰色 金色 银白色 银黑色, FLyme,1999.00,4552,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 智能真8核, 3350mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 2070万, 双摄像头（前后）, 4k, 16GB 32GB 64GB, 3GB, 5.5英寸, 电容式, 2560x1536,（370941人气）,
 Samsung/三星, SM-A7000, 魔幻金 精灵黑 雪域白, Android/安卓,2999.00,217,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头(前后), 16GB, 2GB, 5.5英寸, 电容式, 1920x1080像素,（1258人气）,
 Samsung/三星, SM-N9109W, 幻影白, Android/安卓,2808.00,204,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机, 可拆卸式电池, 四核心, 2.7GHz,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 16GB, 3GB, 5.7英寸, 电容式, 2560×1440像素,（4413人气）,
 Huawei/华为, 荣耀7i&nbsp;移动版, 海岛蓝 冰川白, Android/安卓,1800.00,128,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 女性手机, 不可拆卸式电池, 4*1.5GHz+4*1.2GHz, 3090mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 单摄像头, 1080P(全高清D5), 16GB, 2GB, 5.2英寸, 电容式, 1920x1080,（206人气）,
 Samsung/三星, GALAXY&nbsp;S6&nbsp;SM-G9208, 雪晶白 星钻黑 冰玉蓝 铂光金, Android/安卓,4288.00,106,, 智能手机 4G手机, 不可拆卸式电池, 八核2.1GHz+1.5GHz, 2550mAh, 直板, 虚拟触屏键盘, 9mm以下, 1600万, 双摄像头（前后）, 4k, 32GB, 3GB, 5.1英寸, 电容式, 2560×1440像素,（5355人气）,
 Lenovo/联想, P1C58, 伯爵金 骑士银, Android/安卓,1999.00,234,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头(前后), 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（10305人气）,
 Samsung/三星, SM-G9009W, 闪耀白 酷碳黑, Android/安卓,3699.00,105,, 4G手机, 可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 16GB, 2GB, 5.1英寸, 电容式, 1920x1080,（1022人气）,
 OPPO, R7&nbsp;Plus&nbsp;全网通, 金色, Android/安卓,3299.00,1234,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 3GB, 6.0英寸, 电容式, 1920x1080,（31334人气）,
 Sony/索尼, L55T, 琥珀金 曜石黑 春雪白, Android/安卓,4199.00,130,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 2070万, 双摄像头（前后）, 16GB, 3GB, 5.2英寸, 电容式, 1920x1080,（9635人气）,
 Huawei/华为, P8max, 星光银 日晖金, Android/安卓,3788.00,590,, 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 4*2.2GHz&nbsp;+&nbsp;4*1.5GHz, 4360mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 64GB, 3GB, 6.8英寸, 电容式, 1920x1080,（2849人气）,
 HTC, E9pw, 金粉棕 银雅黑 金珠白, Android/安卓,2644.00,157,, 时尚手机 智能手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 2000万, 双摄像头(前后), 32GB, 3GB, 5.5英寸, 电容式, 2560×1440像素,（1264人气）,
 Gionee/金立, M5, 荣耀金 绅士黑 尊贵白, Android/安卓,2000.00,279,, 拍照手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（3987人气）,
 Samsung/三星, GALAXY&nbsp;Note&nbsp;3&nbsp;SM-N9008V, 简约白 炫酷黑, Android/安卓,2099.00,168,, 拍照手机 智能手机 4G手机, 可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB 32GB, 3GB, 5.7英寸, 电容式, 1920x1080,（326人气）,
 OnePlus/一加, ONE&nbsp;E1001, 暗夜黑 皓月白, H2OS,1599.00,1127,, 拍照手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核, 2525mAh, 直板, 虚拟触屏键盘, 6.9mm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 3GB, 5.0英寸, 电容式, 1920x1080,（2566人气）,
 nubia/努比亚, Z9, 黑色, Android/安卓,3499.00,4767,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 儿童手机 4G手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 32GB, 3GB, 5.2英寸, 电容式, 1920*1080,（25518人气）,
 HTC, M9E, 金尚金 金银汇, Android/安卓,2699.00,497,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 2.2GHz, 2840mAh, 直板, 虚拟触屏键盘, 9.61mm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（2801人气）,
 Huawei/华为, mate7高配版, 琥珀金, Android/安卓,3699.00,743,, 拍照手机 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 4核A15&nbsp;1.8&nbsp;GHz+4核A7&nbsp;1.3&nbsp;GHz+微智核, 4100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 32GB, 3GB, 6.0英寸, 电容式, 1920x1080,（1591人气）,
 Meizu/魅族, MX5移动版, 银黑 金色 银白 灰色, FLyme,1800.00,1310,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 真8核-2.2GHz, 3150mAh, 直板, 虚拟触屏键盘, 7.6mm, 2070万, 双摄像头（前后）, 1080P(全高清D5), 16GB 32GB, 3GB, 5.5英寸, 电容式, 1920*1080,（6625人气）,
 Meitu/美图, M4, 哆啦A梦特别版 HelloKitty特别版 月光白 薄荷绿 炫目红, MEIOS2,2300.00,3582,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 女性手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 4.7英寸, 电容式, 1280x720,（50406人气）,
 Xiaomi/小米, 小米Note&nbsp;顶配版, 香槟金, MIUI,2999.00,2113,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 64GB, 4GB, 5.7英寸, 电容式, 2560×1440像素,（55599人气）,
 vivo, X5Pro(32G), 极光白 极夜黑, Android/安卓,2699.00,685,, 4G手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 2GB, 5.2英寸, 电容式, 1920x1080,（8802人气）,
 Xiaomi/小米, 小米手机4, 亮白 雅黑, MIUI,1899.00,1365,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB 64GB, 3GB, 5.0英寸, 电容式, 1920x1080,（20512人气）,
 Letv/乐视, X600, 灰色 银白色, Android/安卓,1605.00,5142,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB 32GB, 3GB, 5.5英寸, 电容式, 1920x1080,（32934人气）,
 vivo, 极光白, Android/安卓, 4G手机,2498.00,1904,, 不可拆卸式电池, 八核, 1.7G, 2450mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 3GB, 5.2英寸, 电容式, 1920*1080,（17333人气）,
 Letv/乐视, X900, 金色 银色, Android/安卓,3999.00,538,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机, 不可拆卸式电池, 智能真8核, 3400mAh, 直板, 虚拟触屏键盘, 9mm以下, 2100万, 双摄像头（前后）, MP4/Ts/ASF/WMV/MKV/Webm/AVI/DivX/3gp/3g2, 32GB 64GB, 4GB, 5.5英寸以上, 电容式, 2560×1440像素,（8030人气）,
 ZTE/中兴, 香槟金, Android/安卓, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机,1699.00,364,, 不可拆卸式电池, 真八核, 3000mAh,, 虚拟触屏键盘, 9mm以下,, 双摄像头（前后）, 720P(逐行高清D4),, 16GB, 2GB, 155.3x77.2x8.55mm, 电容式, 1920x1080,（1698人气）,
 Samsung/三星, SM-W2015, 尊贵金, Android/安卓,8600.00,81,, 拍照手机 智能手机 4G手机, 可拆卸式电池, 四核心, 2.5GHz,, 翻盖, 虚拟触屏键盘＋12键物理按键,, 1600万像素, 双摄像头（前后）, 16GB, 2GB, 3.9英寸, 电容式, 1280x768像素,（2096人气）,
 vivo, X5Max+高配版, 极光白, Android/安卓,2998.00,1164,, 4G手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 3GB, 5.5英寸, 电容式, 1920x1080,（30857人气）,
 nubia/努比亚, Z9&nbsp;max&nbsp;全网通版, 白色 黑色, Android/安卓,2499.00,864,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 电视手机 4G手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 16GB, 3GB, 5.0-5.5英寸, 电容式, 1920*1080,（17260人气）,
 HTC, M8W, 钨丝晶 月光银 骄阳金, Android/安卓,1999.00,108,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 2.3GHz,, 直板, 虚拟触屏键盘,, 400万, 三摄像头, 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（1231人气）,
 SMARTISAN/锤子, 坚果手机, 红色 青色 灰色 橙色 黑色 黄色 蓝色 绿色 紫色, Smartisan&nbsp;OS,999.00,13265,, 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（31596人气）,
 Huawei/华为, G7, 星空灰 月光银 晨曦金, Android/安卓,1400.00,114,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核&nbsp;1.2GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（257人气）,
 vivo, X5M, 香槟金 极光白, Android/安卓,1999.00,996,, 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（8857人气）,
 vivo, X5V, 极光白 香槟金, Android/安卓,2498.00,386,, 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核-1.5GHZ, 2250mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（9505人气）,
 Lenovo/联想, K80m, 星夜黑 清新白, Android/安卓,899.00,3739,, 拍照手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核, 4000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（18491人气）,
